SLUG,WEBSITE,ECOMMERCE,CHANNEL
carinosanto-ecommerce,https://instagram.com/carinosantoboutique?igshid=YmMyMTA2M2Y=,NOT_AVAILABLE,E_COMMERCE_WOOCOMMERCE
dulcecarolina-ecommerce,https://www.instagram.com/dulcecarolinapereira/?hl=en,NOT_AVAILABLE,E_COMMERCE_WOOCOMMERCE
kryoland-ecommerce,https://www.instagram.com/kryolancolombia,NOT_AVAILABLE,E_COMMERCE_SHOPIFY
ambiente-g-ecommerce,https://www.ambientegourmet.com/,Magento,E_COMMERCE_CUSTOM
brandliveblackanddecker-ecommerce,https://www.blackanddeckercolombia.com/,Magento,E_COMMERCE_VTEX
botanica-ecommerce,https://botanicacol.com/,NOT_AVAILABLE,E_COMMERCE_WOOCOMMERCE
merrell-ecommerce,https://www.merrell.com.co/,Magento,E_COMMERCE_VTEX
socialdm-ecommerce,https://socialadm.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
denimware-ecommerce,https://denimwave.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
santaella-ecommerce,https://santaellajeans.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
blessaccesorios-ecommerce,https://blessaccesorios.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
zerie-ecommerce,https://zerie.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
tuiss-ecommerce,https://www.tuiss.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
thenorthface-ecommerce,https://www.thenorthface.com.co/?utm_campaign=addifriends&utm_source=addi&utm_medium=rrss,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
camiseriainglesa-ecommerce,https://www.camiseriainglesa.com,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
kappa-ecommerce,https://www.kappa-col.com/nueva-coleccion?utm_campaign=addifriends&utm_source=addi&utm_medium=rrss,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
brandlive-novarix-ecommerce,https://www.novarix.com/newHome,Magento,E_COMMERCE_VTEX
deluxejeans-ecommerce,https://deluxejeans.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
rosetto-ecommerce,https://rosettocol.com/shop/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
newstylescity-ecommerce,https://newstylecity.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
relojeriapulso-ecommerce,https://www.pulsocol.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
americanshoes-ecommerce,https://americanshoescolombia.com/,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
zawadzky-ecommerce,https://www.zawadzky.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
lazapateria-ecommerce,https://lazapateria.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
anylady-ecommerce,https://anylady.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
uniformeshola-ecommerce,https://www.uniformeshelo.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
pinkrose-ecommerce,https://pinkrose.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
projectdm-ecommerce,https://projectdm.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
ahuva-ecommerce,https://ahuva.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
lasociedaddelsneaker-ecommerce,https://lasociedadelsneaker.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
treintaysietegrados-ecommerce,https://treintaysietegrados.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
didacticosbob-ecommerce,https://didacticosbob.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
myrror-ecommerce,https://myrror.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
cientonce-ecommerce,https://www.111cycling.com/collections/estilo-de-vida,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
classicjeansshops-ecommerce,https://classicjeans.co/,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
dubaistore-ecommerce,https://dubaistore.co,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
eyra-ecommerce,https://eyraorganico.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
luleta-ecommerce,https://luleta.co,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
luckyload-ecommerce,https://luckandload.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
maskaramakeup-ecommerce,https://maskaramakeup.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
replay-ecommerce,https://www.replaycol.com/,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
babymania-ecommerce,https://babymania.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
